HDR,HALF HOURLY OUTTURN GENERATION BY FUEL TYPE DATA
FUELHH,20200701,1,9217,0,0,4736,2487,10,307,1,121,0,208,758,0,3027,756,0,0,0
FUELHH,20200701,2,8786,0,0,4759,2532,0,305,4,114,0,118,758,0,3027,756,0,0,0
FUELHH,20200701,3,8958,0,0,4800,2581,0,288,4,113,0,110,758,0,3019,756,0,0,0
FUELHH,20200701,4,8680,0,0,4812,2768,0,286,5,133,0,202,758,0,3006,756,0,0,0
FUELHH,20200701,5,8004,0,0,4817,3073,0,285,4,117,272,236,220,0,2993,638,0,0,0
FUELHH,20200701,6,7632,0,0,4811,3207,0,277,4,113,290,236,202,2,2994,638,0,0,0
FUELHH,20200701,7,7680,0,0,4816,3186,0,269,4,116,148,236,104,108,2990,406,0,0,0
FUELHH,20200701,8,7766,0,0,4814,3256,0,281,4,116,156,236,102,94,2998,404,0,0,0
FUELHH,20200701,9,7968,0,0,4819,3481,0,281,4,114,0,140,0,200,3004,444,0,0,0
FUELHH,20200701,10,7759,0,0,4815,3360,0,280,4,128,0,80,0,262,3005,444,0,0,0
FUELHH,20200701,11,8988,0,0,4833,3194,0,294,4,132,0,214,0,414,2992,0,0,0,0
FUELHH,20200701,12,9613,0,0,4865,3214,0,311,4,117,0,170,0,504,2990,0,0,0,0
FUELHH,20200701,13,11620,0,0,4873,3161,22,412,2,129,0,222,0,502,3010,0,0,0,0
FUELHH,20200701,14,13183,0,0,4871,3504,0,434,2,127,0,80,0,380,3020,0,0,0,0
FUELHH,20200701,15,14465,0,0,4871,3541,14,505,2,120,0,0,0,230,3014,0,0,0,0
FUELHH,20200701,16,15573,0,0,4872,3513,210,559,2,158,0,0,0,90,3008,0,0,0,0
FUELHH,20200701,17,16048,0,0,4870,3378,92,603,2,126,0,0,0,0,3009,0,0,0,0
FUELHH,20200701,18,16211,0,0,4872,3290,332,695,2,168,0,0,0,0,3009,0,0,0,0
FUELHH,20200701,19,16261,0,0,4874,3229,344,791,2,237,0,0,0,0,3008,296,0,0,0
FUELHH,20200701,20,16394,0,0,4873,2984,238,800,3,255,0,0,0,0,3018,300,0,0,0
FUELHH,20200701,21,16501,0,0,4872,2919,132,784,3,261,0,0,124,0,3022,500,0,0,0
FUELHH,20200701,22,16690,0,0,4876,2766,364,786,2,224,0,0,128,0,3004,502,0,0,0
FUELHH,20200701,23,16645,0,0,4897,2564,116,756,4,222,0,0,798,0,3010,986,0,0,0
FUELHH,20200701,24,16725,0,0,4910,2366,142,754,3,181,0,0,846,0,3005,1000,0,0,0
FUELHH,20200701,25,16626,0,0,4961,2304,94,773,3,235,0,0,998,0,3005,1000,0,0,0
FUELHH,20200701,26,16576,0,0,5005,2308,38,735,3,196,0,0,1000,0,3010,1000,0,0,0
