HDR,HALF HOURLY OUTTURN GENERATION BY FUEL TYPE DATA
FUELHH,20210101,1,11338,0,0,5955,4489,0,383,0,192,2004,220,0,204,3116,1000,0,0,0
FUELHH,20210101,2,11497,0,0,5951,4351,0,379,0,184,2004,364,0,204,3115,1000,0,0,0
FUELHH,20210101,3,10863,0,0,5947,4258,0,349,0,191,2004,362,0,204,3105,1000,0,0,0
FUELHH,20210101,4,10248,0,0,5951,4265,0,334,0,186,2004,360,0,204,3114,1000,0,0,0
FUELHH,20210101,5,9656,0,0,5951,4365,0,328,0,185,2004,304,0,204,3116,1000,0,0,0
FUELHH,20210101,6,9172,0,0,5952,4466,0,327,0,192,2002,318,0,204,3116,1000,0,0,0
FUELHH,20210101,7,9246,0,0,5948,4404,0,320,0,192,1806,234,0,204,3115,904,0,0,0
FUELHH,20210101,8,8720,0,0,5948,4404,0,315,1,190,1806,220,0,204,3116,904,0,0,0
FUELHH,20210101,9,8300,0,0,5946,4524,0,315,0,187,1806,184,0,204,3117,902,0,0,0
FUELHH,20210101,10,7948,0,0,5948,4551,0,315,0,186,1806,152,0,204,3121,902,0,0,0
FUELHH,20210101,11,7742,0,0,5949,4731,0,314,0,183,1806,170,0,204,3108,904,0,0,0
FUELHH,20210101,12,7625,0,0,5943,4705,0,314,0,185,1806,192,0,204,3120,902,0,0,0
FUELHH,20210101,13,8137,0,0,5948,4625,0,320,0,188,1904,174,0,204,3118,952,0,0,0
FUELHH,20210101,14,8427,0,0,5945,4662,0,343,0,192,1904,164,0,204,3118,952,0,0,0
FUELHH,20210101,15,8197,0,0,5955,4759,0,388,1,184,1904,34,0,204,3114,952,0,0,0
FUELHH,20210101,16,8333,0,0,5949,4759,0,389,1,190,1906,54,0,204,3114,950,0,0,0
FUELHH,20210101,17,8697,0,93,5945,4853,0,402,1,189,2004,154,0,204,3113,810,0,0,0
FUELHH,20210101,18,9323,0,260,5953,4966,0,404,2,195,2004,162,0,144,3117,810,0,0,0
FUELHH,20210101,19,10261,0,368,5957,5008,0,419,2,185,2004,306,0,118,3115,998,0,0,0
FUELHH,20210101,20,11367,0,617,5959,5027,0,420,3,184,2004,364,0,26,3117,1000,0,0,0
FUELHH,20210101,21,12484,0,693,5950,4971,0,426,3,190,2004,402,0,84,3115,1000,0,0,0
FUELHH,20210101,22,13499,0,691,5940,5028,0,425,3,188,2004,402,0,60,3115,1000,0,0,0
FUELHH,20210101,23,14871,0,523,5935,4820,0,413,2,185,2004,402,0,138,3115,970,0,0,0
FUELHH,20210101,24,15642,0,459,5934,4653,0,412,3,184,2004,402,0,194,3109,970,0,0,0
FUELHH,20210101,25,16353,0,565,5934,4600,0,409,3,184,2004,402,0,216,3113,1000,0,0,0
FUELHH,20210101,26,16521,0,784,5932,4697,0,414,2,184,2004,402,0,156,3113,1000,0,0,0
FUELHH,20210101,27,16644,0,1125,5930,4488,0,431,3,185,2004,402,0,144,3112,1000,0,0,0
FUELHH,20210101,28,16439,0,1412,5931,4377,0,426,3,184,2004,402,0,136,3108,1000,0,0,0
FUELHH,20210101,29,16774,0,1447,5927,4217,0,395,3,185,2004,402,0,90,3108,1000,0,0,0
FUELHH,20210101,30,17080,0,1251,5928,4165,0,406,3,184,2004,402,0,92,3078,1000,0,0,0
FUELHH,20210101,31,17615,0,1237,5922,4037,0,440,3,187,2004,402,0,4,3076,1000,0,0,0
FUELHH,20210101,32,18294,0,1123,5929,4043,40,466,3,262,2004,396,0,0,3078,1000,0,0,0
FUELHH,20210101,33,18818,0,980,5928,4169,786,593,3,362,2004,302,0,0,3077,1020,0,0,0
FUELHH,20210101,34,20054,0,1318,5925,4228,1062,609,3,367,2004,310,0,0,3079,1020,0,0,0
FUELHH,20210101,35,20402,0,1450,5933,3949,1196,666,41,483,2004,182,0,0,3078,1020,0,0,0
FUELHH,20210101,36,20487,0,1451,5926,3796,944,666,70,515,2004,152,0,14,3080,1020,0,0,0
FUELHH,20210101,37,19987,0,1325,5931,3998,884,623,17,376,2004,32,0,0,3077,1020,0,0,0
FUELHH,20210101,38,19731,0,1051,5927,3506,792,619,4,328,2004,0,0,0,3077,1020,0,0,0
FUELHH,20210101,39,19248,0,1191,5930,3321,60,521,3,327,2002,90,0,0,3037,1020,0,0,0
FUELHH,20210101,40,18311,0,1088,5937,3184,0,508,2,273,2002,148,0,0,3046,1020,0,0,0
FUELHH,20210101,41,17875,0,729,5928,2987,0,485,0,204,2004,168,0,14,3050,1020,0,0,0
FUELHH,20210101,42,17079,0,567,5930,2855,16,482,2,196,2004,80,0,106,3051,1020,0,0,0
FUELHH,20210101,43,16167,0,482,5925,2885,44,478,4,190,2002,0,0,16,3081,1000,0,0,0
FUELHH,20210101,44,14935,0,427,5926,3097,72,432,3,186,2002,0,0,0,3082,1000,0,0,0
FUELHH,20210101,45,14128,0,188,5925,3119,0,423,0,185,2004,32,0,0,3053,1000,0,0,0
FUELHH,20210101,46,13274,0,0,5927,3209,0,442,0,184,2004,130,0,0,2787,1000,0,0,0
FUELHH,20210101,47,11891,0,0,5924,3157,14,415,2,187,2004,184,0,0,2463,1000,0,0,0
FUELHH,20210101,48,11326,0,0,5924,2914,0,393,4,187,2004,54,0,0,2465,1000,0,0,0
FUELHH,20210102,1,11190,0,0,5923,3002,0,363,4,191,2004,18,0,0,2465,1000,0,0,0
FUELHH,20210102,2,11370,0,0,5923,3142,0,351,3,194,2002,88,0,0,2463,1000,0,0,0
FUELHH,20210102,3,11261,0,0,5926,2966,44,337,5,193,1904,46,0,0,2461,950,0,0,0
FUELHH,20210102,4,10760,0,0,5930,3213,0,337,4,187,1904,62,0,0,2464,950,0,0,0
FUELHH,20210102,5,10403,0,0,5929,3472,0,333,5,185,1904,18,0,0,2483,950,0,0,0
FUELHH,20210102,6,10048,0,0,5931,3417,0,309,4,192,1904,18,0,0,2466,950,0,0,0
FUELHH,20210102,7,10160,0,0,5930,3285,0,313,0,190,1904,18,0,0,2447,950,0,0,0
FUELHH,20210102,8,9742,0,0,5935,3384,0,312,0,185,1904,0,0,0,2489,950,0,0,0
FUELHH,20210102,9,9753,0,0,5926,3409,0,299,0,186,1904,0,0,0,2493,876,0,0,0
FUELHH,20210102,10,9478,0,0,5929,3544,0,288,0,187,1904,0,0,0,2494,876,0,0,0
FUELHH,20210102,11,9641,0,0,5927,3663,0,295,0,184,1904,0,0,0,2491,952,0,0,0
FUELHH,20210102,12,9614,0,0,5925,3935,0,283,0,186,1904,0,0,0,2497,952,0,0,0
FUELHH,20210102,13,9953,0,0,5925,4344,0,314,1,186,1904,0,0,0,2497,952,0,0,0
FUELHH,20210102,14,10620,0,0,5921,4056,0,320,1,187,1904,0,0,0,2497,952,0,0,0
FUELHH,20210102,15,11148,0,129,5929,3955,0,323,2,183,2002,0,0,0,2459,1000,0,0,0
FUELHH,20210102,16,11410,0,244,5925,4100,0,326,2,184,2004,0,0,0,2431,1000,0,0,0
FUELHH,20210102,17,12792,0,229,5923,3832,0,349,2,193,2004,0,0,0,2443,1000,0,0,0
FUELHH,20210102,18,14310,0,320,5924,3496,0,368,2,194,2004,24,0,0,2480,1000,0,0,0
FUELHH,20210102,19,15156,0,703,5930,3641,0,377,2,184,2004,0,0,0,2477,1000,0,0,0
FUELHH,20210102,20,15342,0,1106,5926,3826,188,378,3,195,2004,0,0,0,2478,1000,0,0,0
FUELHH,20210102,21,16177,0,1268,5925,3692,14,418,1,198,2004,0,0,0,2484,1000,0,0,0
FUELHH,20210102,22,17025,0,1362,5926,3284,0,420,1,192,2004,0,0,0,2484,996,0,0,0
FUELHH,20210102,23,17485,0,1485,5933,3146,102,409,0,192,2004,0,0,0,2489,708,0,0,0
FUELHH,20210102,24,17677,0,1500,5927,3183,302,423,49,201,2004,2,0,0,2490,708,0,0,0
FUELHH,20210102,25,17784,0,1528,5931,3086,500,434,97,205,2004,94,0,0,2482,996,0,0,0
FUELHH,20210102,26,18165,0,1527,5931,3099,344,433,97,326,2004,102,0,0,2480,1000,0,0,0
FUELHH,20210102,27,18467,0,1571,5924,3243,284,433,97,326,2004,216,0,0,2455,1000,0,0,0
FUELHH,20210102,28,18864,0,1610,5932,3140,2,431,97,299,2004,128,0,0,2462,1000,0,0,0
FUELHH,20210102,29,19100,0,1664,5931,3239,0,415,58,198,2004,162,0,0,2463,1000,0,0,0
FUELHH,20210102,30,19135,0,1820,5924,3517,0,415,48,185,2004,106,0,0,2461,994,0,0,0
FUELHH,20210102,31,19852,0,1935,5924,3617,0,437,48,185,2004,18,0,0,2466,650,0,0,0
FUELHH,20210102,32,20273,0,2025,5928,3653,0,458,52,184,2004,0,0,0,2466,650,0,0,0
FUELHH,20210102,33,21042,0,2001,5926,3530,460,522,100,254,2004,0,0,0,2453,1014,0,0,0
FUELHH,20210102,34,21779,0,2040,5929,3663,1178,569,131,521,2004,22,0,0,2442,1020,0,0,0
FUELHH,20210102,35,22069,0,2143,5922,3788,1406,662,146,530,2004,0,0,0,2455,1020,0,0,0
FUELHH,20210102,36,22061,0,2128,5931,3919,1382,662,146,528,2004,0,0,0,2465,1020,0,0,0
FUELHH,20210102,37,21696,0,2110,5936,3888,946,619,146,495,2004,0,0,0,2465,1020,0,0,0
FUELHH,20210102,38,21235,0,1979,5937,3997,714,619,107,415,2004,0,0,0,2466,1020,0,0,0
